"word","n","rate_ADMIN","rate_HOCs","rate_total_EB","rate_ratio","rate_ratio_EB","group_HOCs_admin","id","color_range","color_range_scale"
"communities",14,11.1214461924212,4.78224829433144,9.99877519913969,2.3255685418099,2.12040884367619,"Admin",267,0.843964543257511,0.22085520982157
"decompress",1,1.01104056294739,0,1.95621147728866,Inf,2.1464295956702,"Admin",2799,3,0.785063347456943
"parties",6,2.02208112589477,6.37633105910859,5.04950521646213,0.317122982974077,0.462233465024601,"HOCs",783,-1.1484656214327,-0.377091886384678
"test",73,57.629312088001,25.5053242364344,46.4996413213867,2.2595012536903,2.21669361129664,"Admin",22,0.815144104722019,0.213313253170954
"professional",38,30.3312168884216,12.7526621182172,24.8465851471724,2.37842237230558,2.2865126634399,"Admin",57,0.866437399109569,0.226736081635615
"virtual",9,3.03312168884216,9.56449658866288,6.90548145996621,0.317122982974077,0.419053706372526,"HOCs",529,-1.1484656214327,-0.377091886384678
"successful",4,1.01104056294739,4.78224829433144,3.81218772079274,0.211415321982718,0.416008793372381,"HOCs",993,-1.55393072954086,-0.510223953750297
"widespread",4,1.01104056294739,4.78224829433144,3.81218772079274,0.211415321982718,0.416008793372381,"HOCs",1007,-1.55393072954086,-0.510223953750297
"virus",21,17.1876895701056,6.37633105910859,14.3293864339825,2.69554535527965,2.47732176391553,"Admin",148,0.991600542063575,0.259489746964183
"returning",22,18.1987301330529,6.37633105910859,14.9480451818172,2.85410684676669,2.61166098384159,"Admin",132,1.04875895590352,0.274447405532356
"strong",7,2.02208112589477,7.97041382388574,5.66816396429683,0.253698386379262,0.381440751013993,"HOCs",625,-1.37160917274691,-0.450359750158154
"experience",18,6.06624337768431,19.1289931773258,12.4734101904785,0.317122982974077,0.370977814361709,"HOCs",219,-1.1484656214327,-0.377091886384678
"message",35,29.3201763254742,9.56449658866288,22.9906089036683,3.06552216874941,2.87253353452207,"Admin",60,1.12021791988567,0.293147343355566
"assignments",2,0,3.18816552955429,2.57487022512335,0,0.335810719337224,"HOCs",1219,-3,-0.985032236091476
