id,date,count
197,01/13,21
197,01/14,21
197,01/15,21
197,01/16,21
197,01/17,21
197,01/18,21
199,01/11,17
199,01/12,16
199,01/13,16
199,01/14,16
199,01/15,16
199,01/16,16
199,01/17,16
199,01/18,16
200,01/11,9
200,01/12,9
200,01/13,10
200,01/14,10
200,01/15,10
200,01/16,10
200,01/17,9
200,01/18,9
201,01/11,25
201,01/12,25
201,01/13,26
201,01/14,26
201,01/15,26
201,01/16,26
201,01/17,26
201,01/18,26
202,01/11,6
202,01/12,8
202,01/13,9
202,01/14,10
202,01/15,10
202,01/16,10
202,01/17,11
202,01/18,12
203,01/11,12
203,01/12,14
203,01/13,14
203,01/14,14
203,01/15,14
203,01/16,14
203,01/17,14
203,01/18,14
204,01/11,24
204,01/12,27
204,01/13,28
204,01/14,28
204,01/15,28
204,01/16,29
204,01/17,30
204,01/18,31
205,01/11,11
205,01/12,11
205,01/13,11
205,01/14,11
205,01/15,11
205,01/16,11
205,01/17,11
205,01/18,11
208,01/11,12
208,01/12,17
208,01/13,17
208,01/14,17
208,01/15,16
208,01/16,16
208,01/17,16
208,01/18,16
210,01/11,0
210,01/12,1
210,01/13,1
210,01/14,1
210,01/15,2
210,01/16,2
210,01/17,2
210,01/18,2
213,01/11,12
213,01/12,14
213,01/13,14
213,01/14,14
213,01/15,14
213,01/16,15
213,01/17,15
213,01/18,16
214,01/11,26
214,01/12,25
214,01/13,25
214,01/14,24
214,01/15,24
214,01/16,25
214,01/17,26
214,01/18,26
215,01/11,13
215,01/12,13
215,01/13,12
215,01/14,13
215,01/15,13
215,01/16,13
215,01/17,13
215,01/18,13
217,01/11,28
217,01/12,29
217,01/13,29
217,01/14,29
217,01/15,29
217,01/16,28
217,01/17,28
217,01/18,28
218,01/11,40
218,01/12,44
218,01/13,44
218,01/14,44
218,01/15,45
218,01/16,45
218,01/17,44
218,01/18,46
221,01/11,2
221,01/12,2
221,01/13,2
221,01/14,2
221,01/15,2
221,01/16,2
221,01/17,2
221,01/18,2
222,01/11,1
222,01/12,1
222,01/13,1
222,01/14,1
222,01/15,1
222,01/16,1
222,01/17,1
222,01/18,1
224,01/11,3
224,01/12,4
224,01/13,5
224,01/14,5
224,01/15,5
224,01/16,5
224,01/17,5
224,01/18,5
225,01/11,9
225,01/12,9
225,01/13,9
225,01/14,9
225,01/15,9
225,01/16,9
225,01/17,9
225,01/18,9
226,01/11,0
226,01/12,0
226,01/13,0
226,01/14,1
226,01/15,1
226,01/16,0
226,01/17,0
226,01/18,0
227,01/11,0
227,01/12,1
227,01/13,0
227,01/14,0
227,01/15,0
227,01/16,0
227,01/17,0
227,01/18,0
229,01/11,1
229,01/12,2
229,01/13,3
229,01/14,3
229,01/15,4
229,01/16,4
229,01/17,4
229,01/18,5
230,01/11,0
230,01/12,0
230,01/13,0
230,01/14,0
230,01/15,0
230,01/16,0
230,01/17,0
230,01/18,0
231,01/11,0
231,01/12,0
231,01/13,0
231,01/14,0
231,01/15,0
231,01/16,0
231,01/17,0
231,01/18,0
232,01/11,7
232,01/12,11
232,01/13,11
232,01/14,10
232,01/15,11
232,01/16,11
232,01/17,13
232,01/18,13
233,01/11,6
233,01/12,11
233,01/13,12
233,01/14,12
233,01/15,12
233,01/16,12
233,01/17,11
233,01/18,12
235,01/11,0
235,01/12,0
235,01/13,0
235,01/14,0
235,01/15,0
235,01/16,0
235,01/17,0
235,01/18,0
236,01/11,3
236,01/12,6
236,01/13,6
236,01/14,6
236,01/15,6
236,01/16,6
236,01/17,7
236,01/18,8
237,01/11,2
237,01/12,2
237,01/13,2
237,01/14,2
237,01/15,2
237,01/16,2
237,01/17,2
237,01/18,2
238,01/11,2
238,01/12,3
238,01/13,3
238,01/14,3
238,01/15,3
238,01/16,3
238,01/17,3
238,01/18,4
239,01/11,0
239,01/12,0
239,01/13,0
239,01/14,0
239,01/15,0
239,01/16,0
239,01/17,0
239,01/18,0
