id,code,name
269,PHYS 549 01,Solid State Physics II
271,APHY 607 01,Modern Topics in Optics and Quantum Electronics
273,APHY 633 01,Introduction to Superconductivity
273,PHYS 633 01,Introduction to Superconductivity
274,APHY 675 01,Principles of Optics with Applications
274,PHYS 675 01,Principles of Optics with Applications
275,APHY 990 01,Special Investigations
276,ARBC 120 01,Elementary Modern Standard Arabic II
276,ARBC 501 01,Elementary Modern Standard Arabic II
277,ARBC 120 02,Elementary Modern Standard Arabic II
277,ARBC 501 02,Elementary Modern Standard Arabic II
278,ARBC 120 03,Elementary Modern Standard Arabic II
278,ARBC 501 03,Elementary Modern Standard Arabic II
279,ARBC 120 04,Elementary Modern Standard Arabic II
279,ARBC 501 04,Elementary Modern Standard Arabic II
280,ARBC 140 01,Intermediate Modern Standard Arabic II
280,ARBC 503 01,Intermediate Modern Standard Arabic II
281,ARBC 140 02,Intermediate Modern Standard Arabic II
281,ARBC 503 02,Intermediate Modern Standard Arabic II
282,ARBC 146 01,Intermediate Classical Arabic II
282,ARBC 510 01,Intermediate Classical Arabic II
283,ARBC 151 01,Advanced Modern Standard Arabic II
283,ARBC 505 01,Advanced Modern Standard Arabic II
285,ARBC 191 01,Egyptian Arabic
286,ARBC 560 01,Graduate Arabic Seminar: Tafsir
287,ARBC 849 01,Directed Readings: Arabic.
288,ARCG 000 01,The Ancient State: Genesis and Crisis from Mesopotamia to Mexico
289,ARCG 200 01,Magnetism in Archaeology and Paleoanthropology
289,ARCG 630 01,Magnetism in Archaeology and Paleoanthropology
289,ANTH 201 01,Magnetism in Archaeology and Paleoanthropology
289,ANTH 645 01,Magnetism in Archaeology and Paleoanthropology
291,ARCG 255 01,Inca Culture and Society
291,ANTH 255 01,Inca Culture and Society
291,LAST 255 01,Inca Culture and Society
292,ARCG 326 01,Ancient Civilizations of the Eurasian Steppes
292,ARCG 726 01,Ancient Civilizations of the Eurasian Steppes
292,ANTH 326 01,Ancient Civilizations of the Eurasian Steppes
292,ANTH 726 01,Ancient Civilizations of the Eurasian Steppes
295,ARCG 385 01,Archaeological Ceramics
295,ANTH 385 01,Archaeological Ceramics
295,ANTH 785 01,Archaeological Ceramics
295,ARCG 785 01,Archaeological Ceramics
296,ARCG 387 01,East Asian Objects and Museums
296,ANTH 387 01,East Asian Objects and Museums
297,ARCG 391 01,Paleoclimate and Human Response
297,ANTH 391 01,Paleoclimate and Human Response
297,ANTH 791 01,Paleoclimate and Human Response
297,ARCG 791 01,Paleoclimate and Human Response
300,ARCG 454 01,Statistics for Archaeological Analysis
300,ARCG 754 01,Statistics for Archaeological Analysis
300,ANTH 454 01,Statistics for Archaeological Analysis
300,ANTH 754 01,Statistics for Archaeological Analysis
303,ARCG 491 01,Senior Research Project in Archaeology
308,ARCG 701 01,Foundations of Modern Archaeology
308,ANTH 701 01,Foundations of Modern Archaeology
309,ARCG 714 01,The Archaeology of Religion
309,ANTH 714 01,The Archaeology of Religion
311,ARCG 782 03,Advanced Archaeological Theory
312,ARCG 787 01,"East Asian Objects and Museums: Collection, Curation, and Display"
312,ANTH 787 01,"East Asian Objects and Museums: Collection, Curation, and Display"
312,HSAR 804 01,"East Asian Objects and Museums: Collection, Curation, and Display"
313,ARCH 1012 01,Architectural Design 2
314,ARCH 1022 01,Architectural Design 4
315,ARCH 1022 02,Architectural Design 4
316,ARCH 1111 01,Advanced Design Studio
317,ARCH 1112 01,Advanced Design Studio
318,ARCH 1113 01,Advanced Design Studio
319,ARCH 1114 01,Advanced Design Studio
320,ARCH 1115 01,Advanced Design Studio
321,ARCH 1116 01,Advanced Design Studio
322,ARCH 1117 01,Advanced Design Studio
323,ARCH 1118 01,Advanced Design Studio
324,ARCH 1121 01,Design Research Studio
325,ARCH 1199 01,Thesis
326,ARCH 1213 01,Books and Architecture
327,ARCH 1224 01,The Chair
328,ARCH 1225 01,Formal Analysis II
329,ARCH 1227 01,Drawing Projects
330,ARCH 1228 01,"Ruins, Ruination and Reuse"
331,ARCH 1233 01,Composition and Form
332,ARCH 1243 01,Graphic Inquiry
333,ARCH 1245 01,Color in Architecture
334,ARCH 1246 01,AI Aesthetics
335,ARCH 1293 01,Storybuilding: Inclusive Design and Public Health
336,ARCH 1299 01,Independent Course Work
337,ARCH 154 01,Drawing Architecture
338,ARCH 162 01,Materials in Architecture
339,ARCH 200 01,Scales of Design
339,URBN 200 01,Scales of Design
340,ARCH 2012 01,Structures II
341,ARCH 2016 01,Building Project I: Research and Design
342,ARCH 2022 01,Systems Integration and Development in Design
343,ARCH 2022 02,Systems Integration and Development in Design
344,ARCH 2022 03,Systems Integration and Development in Design
345,ARCH 2022 04,Systems Integration and Development in Design
346,ARCH 2022 05,Systems Integration and Development in Design
347,ARCH 2022 06,Systems Integration and Development in Design
348,ARCH 2207 01,Architectural Journalism
349,ARCH 2209 01,Skin Deep: Envelope as Potential Energy
350,ARCH 2223 01,Structuring Architecture: Form and Space
351,ARCH 2226 01,Design Computation
352,ARCH 2229 01,Regenerative Building
353,ARCH 2230 01,Exploring New Values in Design Practice
354,ARCH 2238 01,The Mechanical Artifact
355,ARCH 2240 01,The Architect As: Recasting the Role of the Architect in the Development Lifecycle
356,ARCH 2241 01,Building Disasters
357,ARCH 2243 01,Architecture & Machine Intelligence in Theory & Practice
358,ARCH 2244 01,Building Materials
359,ARCH 2299 01,Independent Course Work
360,ARCH 251 01,Methods and Form in Architecture II
361,ARCH 271 01,Introduction to Islamic Architecture
362,ARCH 272 01,Introduction to the History of Art: Art and Architecture of the Sacred
363,ARCH 280 01,American Architecture and Urbanism
363,AMST 197 01,American Architecture and Urbanism
363,HSAR 219 01,American Architecture and Urbanism
363,URBN 280 01,American Architecture and Urbanism
364,ARCH 280 02,American Architecture and Urbanism
364,AMST 197 02,American Architecture and Urbanism
364,HSAR 219 02,American Architecture and Urbanism
364,URBN 280 02,American Architecture and Urbanism
365,ARCH 3012 01,Architecture and Modernity II: Theories and Projects
366,ARCH 3092 01,Independent M.E.D. Research
367,ARCH 3102 01,Topics in the History of Architecture after WWII
368,ARCH 3103 01,Introduction to Islamic Architecture
369,ARCH 314 01,History of Landscape in Western Europe and the United States: Antiquity to 1950
369,URBN 314 01,History of Landscape in Western Europe and the United States: Antiquity to 1950
370,ARCH 3201 01,From Decon to Decolonial
371,ARCH 3202 01,The Origins of Capitalist Urban Space
372,ARCH 3204 01,Materials & Meanings
373,ARCH 3205 01,Method and Modern Architecture: Contemporary Approaches to the History of Architectural Modernism
