number,rating,subject,term,workload,year
242,3.3970000000000002,ANTH,Spring,2.676,2015.0
242,3.289,ANTH,Spring,2.589,2013.0
242,3.553,ANTH,Spring,2.326,2012.0
264,3.714,ANTH,Spring,2.846,2018.0
264,3.875,ANTH,Fall,2.625,2015.0
264,3.235,ANTH,Fall,1.8820000000000001,2012.0
276,4.714,ANTH,Fall,3.714,2013.0
276,4.667,ANTH,Fall,3.667,2012.0
338,4.8,ANTH,Fall,2.5,2012.0
339,4.333,ANTH,Spring,3.8890000000000002,2018.0
339,3.8,ANTH,Spring,4.1,2017.0
339,4.333,ANTH,Spring,3.667,2014.0
346,4.333,ANTH,Spring,3.083,2019.0
346,4.385,ANTH,Spring,3.0,2018.0
346,4.333,ANTH,Spring,2.833,2017.0
346,4.235,ANTH,Fall,3.059,2015.0
346,4.125,ANTH,Fall,3.133,2014.0
346,4.842,ANTH,Fall,3.211,2013.0
346,4.667,ANTH,Fall,3.444,2011.0
362,4.0,ANTH,Spring,2.5,2019.0
362,4.5,ANTH,Spring,4.0,2017.0
362,4.25,ANTH,Fall,3.0,2012.0
381,3.556,ANTH,Spring,3.111,2019.0
381,3.867,ANTH,Spring,3.6,2018.0
381,4.444,ANTH,Spring,3.333,2017.0
385,4.167,ANTH,Fall,3.0,2018.0
385,4.667,ANTH,Fall,3.0,2016.0
385,3.429,ANTH,Fall,2.714,2014.0
385,3.2,ANTH,Spring,2.75,2013.0
399,4.273,ANTH,Spring,2.409,2019.0
399,4.1,ANTH,Fall,2.7,2017.0
414,3.667,ANTH,Spring,2.833,2019.0
414,3.6,ANTH,Fall,2.6,2017.0
414,3.75,ANTH,Fall,2.75,2016.0
414,3.167,ANTH,Spring,2.714,2011.0
438,4.5,ANTH,Spring,3.25,2018.0
438,4.25,ANTH,Spring,3.917,2017.0
438,4.692,ANTH,Spring,3.615,2016.0
438,4.636,ANTH,Spring,3.273,2015.0
438,4.5,ANTH,Fall,3.75,2013.0
438,4.5,ANTH,Fall,3.6109999999999998,2011.0
438,4.611,ANTH,Fall,3.444,2010.0
453,4.25,ANTH,Spring,3.167,2019.0
453,4.556,ANTH,Spring,3.333,2018.0
453,4.353,ANTH,Fall,3.375,2016.0
453,4.25,ANTH,Spring,2.875,2016.0
453,4.0,ANTH,Spring,2.9290000000000003,2015.0
453,4.667,ANTH,Spring,2.5,2012.0
464,4.273,ANTH,Spring,2.545,2019.0
464,4.7780000000000005,ANTH,Spring,2.235,2018.0
464,4.864,ANTH,Spring,2.455,2017.0
464,4.75,ANTH,Spring,2.0,2016.0
464,4.684,ANTH,Spring,2.526,2015.0
464,4.7780000000000005,ANTH,Spring,2.222,2014.0
464,4.818,ANTH,Spring,2.682,2013.0
464,4.647,ANTH,Fall,2.471,2010.0
471,4.0,ANTH,Fall,3.0,2019.0
471,3.0,ANTH,Fall,2.5,2017.0
471,4.333,ANTH,Fall,3.5,2015.0
471,4.5,ANTH,Fall,3.0,2014.0
471,4.333,ANTH,Fall,3.667,2012.0
471,4.0,ANTH,Fall,3.5,2011.0
471,4.429,ANTH,Fall,4.0,2010.0
473,4.143,ANTH,Spring,2.0,2019.0
473,4.2,ANTH,Spring,2.4,2018.0
473,2.714,ANTH,Spring,2.0,2016.0
473,4.5,ANTH,Spring,2.0,2015.0
473,3.778,ANTH,Spring,2.111,2014.0
473,4.167,ANTH,Spring,2.667,2013.0
473,4.4,ANTH,Spring,3.8,2012.0
473,2.778,ANTH,Spring,2.556,2011.0
473,4.0,ANTH,Fall,2.25,2009.0
482,4.2,ANTH,Spring,3.2,2014.0
482,3.727,ANTH,Spring,2.545,2011.0
491,4.5,ANTH,Spring,4.667,2019.0
491,3.143,ANTH,Spring,4.5,2018.0
491,4.5,ANTH,Spring,4.6,2017.0
491,4.4,ANTH,Spring,4.0,2016.0
491,3.875,ANTH,Spring,4.375,2015.0
491,3.667,ANTH,Spring,3.0,2014.0
491,4.25,ANTH,Spring,4.636,2013.0
491,3.778,ANTH,Spring,4.0,2012.0
491,3.8,ANTH,Spring,4.571,2011.0
491,4.0,ANTH,Fall,4.0,2010.0
491,4.167,ANTH,Spring,4.167,2010.0
492,2.0,ANTH,Spring,3.0,2019.0
100,2.824,APHY,Spring,2.765,2019.0
100,2.259,APHY,Spring,2.593,2018.0
100,2.346,APHY,Spring,2.5380000000000003,2017.0
100,2.533,APHY,Fall,3.067,2015.0
100,2.667,APHY,Fall,3.0,2014.0
100,2.857,APHY,Spring,2.9050000000000002,2014.0
110,4.143,APHY,Spring,2.455,2019.0
110,3.167,APHY,Spring,3.033,2018.0
110,3.64,APHY,Spring,2.625,2016.0
110,3.31,APHY,Spring,2.8970000000000002,2015.0
110,2.526,APHY,Spring,2.368,2014.0
110,3.149,APHY,Spring,2.809,2013.0
110,3.642,APHY,Spring,2.66,2012.0
110,3.558,APHY,Spring,2.575,2011.0
110,3.583,APHY,Fall,2.583,2010.0
110,3.657,APHY,Spring,2.634,2010.0
151,4.0,APHY,Spring,3.51,2019.0
151,4.22,APHY,Spring,3.675,2017.0
151,3.395,APHY,Fall,3.465,2019.0
151,3.765,APHY,Fall,3.667,2018.0
151,3.485,APHY,Spring,3.939,2018.0
151,2.886,APHY,Fall,3.864,2017.0
151,2.769,APHY,Fall,3.462,2016.0
151,3.776,APHY,Spring,3.571,2016.0
151,1.8940000000000001,APHY,Fall,4.042,2015.0
151,3.737,APHY,Spring,3.5380000000000003,2015.0
151,3.355,APHY,Fall,3.774,2014.0
151,3.308,APHY,Spring,4.615,2014.0
151,3.284,APHY,Fall,3.182,2013.0
151,3.0,APHY,Spring,4.274,2013.0
151,3.536,APHY,Fall,3.205,2012.0
194,3.825,APHY,Fall,3.651,2018.0
194,3.387,APHY,Fall,3.323,2019.0
194,1.6800000000000002,APHY,Spring,3.306,2019.0
194,2.963,APHY,Spring,3.741,2018.0
194,3.1,APHY,Fall,3.805,2017.0
194,3.379,APHY,Spring,3.31,2017.0
194,2.73,APHY,Fall,3.429,2016.0
194,2.123,APHY,Spring,4.431,2016.0
194,3.227,APHY,Fall,3.955,2015.0
194,2.932,APHY,Spring,4.733,2015.0
194,3.212,APHY,Fall,3.727,2014.0
194,3.895,APHY,Spring,4.4,2014.0
194,3.308,APHY,Fall,4.37,2013.0
194,3.434,APHY,Spring,4.45,2013.0
194,2.792,APHY,Fall,4.625,2012.0
321,1.0,APHY,Spring,3.0,2019.0
321,5.0,APHY,Spring,5.0,2018.0
321,3.6,APHY,Spring,4.6,2011.0
322,3.6,APHY,Spring,4.0,2019.0
322,2.8,APHY,Spring,3.4,2018.0
322,3.583,APHY,Spring,3.583,2017.0
322,3.4,APHY,Spring,3.4,2016.0
322,2.75,APHY,Spring,3.0,2015.0
322,2.917,APHY,Spring,2.917,2014.0
322,4.0,APHY,Spring,3.333,2013.0
322,4.429,APHY,Spring,3.429,2012.0
322,2.714,APHY,Spring,2.857,2011.0
322,2.9,APHY,Spring,2.909,2010.0
449,3.0,APHY,Spring,4.0,2017.0
