number,rating,subject,term,workload,year
222,3.814,AMTH,Fall,3.5,2018.0
222,2.634,AMTH,Spring,3.493,2018.0
222,2.8810000000000002,AMTH,Spring,3.3810000000000002,2018.0
222,2.382,AMTH,Fall,3.164,2017.0
222,2.292,AMTH,Spring,2.625,2017.0
222,3.257,AMTH,Spring,2.735,2017.0
222,2.426,AMTH,Spring,2.872,2017.0
222,3.258,AMTH,Fall,2.894,2016.0
222,3.8,AMTH,Spring,2.855,2016.0
222,2.726,AMTH,Spring,2.607,2016.0
222,3.1,AMTH,Fall,2.4,2015.0
222,3.105,AMTH,Spring,2.9210000000000003,2015.0
222,2.767,AMTH,Spring,2.6390000000000002,2015.0
222,3.222,AMTH,Fall,2.903,2014.0
222,3.18,AMTH,Spring,2.8689999999999998,2014.0
222,3.4,AMTH,Spring,3.1,2014.0
222,3.3970000000000002,AMTH,Fall,2.776,2013.0
222,3.339,AMTH,Spring,3.048,2013.0
222,2.0,AMTH,Fall,3.211,2012.0
222,3.223,AMTH,Spring,3.063,2012.0
222,2.103,AMTH,Spring,3.586,2012.0
222,2.171,AMTH,Fall,3.556,2011.0
222,2.778,AMTH,Spring,2.3609999999999998,2011.0
222,3.033,AMTH,Spring,3.176,2011.0
222,2.902,AMTH,Fall,2.634,2010.0
222,3.03,AMTH,Spring,2.667,2010.0
222,3.391,AMTH,Spring,3.109,2010.0
222,3.7800000000000002,AMTH,Fall,3.146,2009.0
222,2.8,AMTH,Fall,2.9,2019.0
222,2.382,AMTH,Fall,3.164,2017.0
222,3.056,AMTH,Fall,3.074,2019.0
222,2.417,AMTH,Spring,2.833,2019.0
222,2.406,AMTH,Spring,3.0,2019.0
222,3.095,AMTH,Spring,3.227,2019.0
222,3.814,AMTH,Fall,3.5,2018.0
222,2.634,AMTH,Spring,3.493,2018.0
222,2.8810000000000002,AMTH,Spring,3.3810000000000002,2018.0
222,2.292,AMTH,Spring,2.625,2017.0
222,3.257,AMTH,Spring,2.735,2017.0
222,2.426,AMTH,Spring,2.872,2017.0
222,3.258,AMTH,Fall,2.894,2016.0
222,3.8,AMTH,Spring,2.855,2016.0
222,2.726,AMTH,Spring,2.607,2016.0
222,3.1,AMTH,Fall,2.4,2015.0
222,3.105,AMTH,Spring,2.9210000000000003,2015.0
222,2.767,AMTH,Spring,2.6390000000000002,2015.0
222,3.222,AMTH,Fall,2.903,2014.0
222,3.18,AMTH,Spring,2.8689999999999998,2014.0
222,3.4,AMTH,Spring,3.1,2014.0
222,3.3970000000000002,AMTH,Fall,2.776,2013.0
222,3.339,AMTH,Spring,3.048,2013.0
222,2.0,AMTH,Fall,3.211,2012.0
222,3.223,AMTH,Spring,3.063,2012.0
222,2.103,AMTH,Spring,3.586,2012.0
222,2.171,AMTH,Fall,3.556,2011.0
222,2.778,AMTH,Spring,2.3609999999999998,2011.0
222,3.033,AMTH,Spring,3.176,2011.0
222,2.902,AMTH,Fall,2.634,2010.0
222,3.03,AMTH,Spring,2.667,2010.0
222,3.391,AMTH,Spring,3.109,2010.0
222,3.7800000000000002,AMTH,Fall,3.146,2009.0
244,3.4130000000000003,AMTH,Fall,3.079,2019.0
244,3.606,AMTH,Spring,2.9699999999999998,2019.0
244,3.392,AMTH,Fall,3.392,2018.0
244,3.299,AMTH,Fall,3.077,2017.0
