id,code,name
241,ARCH 260,HistArch I: Antiquity-Baroque
241,HSAR 326,HistArch I: Antiquity-Baroque
242,ARCH 3091,Methods & Research Workshop
243,ARCH 3223,Parallels of the Modern
244,ARCH 3232,Politics of Space
245,ARCH 3234,Renaissance & Modern I
246,ARCH 3240,Spatial Concepts of Japan
247,ARCH 3280,Medium Design
248,ARCH 3284,Architectural Writing
249,ARCH 345,Civic Art: Intro Urban Design
249,URBN 345,Civic Art: Intro Urban Design
250,ARCH 353,Urban Field Geography
250,URBN 353,Urban Field Geography
251,ARCH 362,Urban Lab: City Making
251,URBN 362,Urban Lab: City Making
252,ARCH 375,American Gothic
253,ARCH 4011,Intro to Urban Design
254,ARCH 4213,The City & Carbon Moderty
255,ARCH 4219,Urban Research & Representn
256,ARCH 4222,History of Western Europe Arch
257,ARCH 4224,Out of Date: Expired Patents
258,ARCH 4242,Intro to Planning & Dev.
258,F&ES 892,Intro to Planning & Dev.
259,ARCH 450,Senior Studio
260,ARCH 471,Individual Tutorial
261,ARCH 490,Senior Research Colloquium
261,URBN 490,Senior Research Colloquium
262,ARCH 551,Ph.D. Seminar I
263,ARCH 553,Ph.D. Seminar III
264,ARCH 554,Ph.D. Dissertation Preparation
265,ARCH 555,PhD Independent Course Work
266,ARMN 450,Classical Armenian I
266,ARMN 680,Classical Armenian I
267,ART 004,Words and Pictures
268,ART 006,Art of the Printed Word
269,ART 013,Temperamental Spaces
270,ART 111,Visual Thinking
271,ART 114,Basic Drawing
272,ART 116,Color Practice
273,ART 120,Intro to Sculpture: Wood
274,ART 130,Painting Basics
275,ART 132,Introduction to Graphic Design
276,ART 136,B&W Photo Capturing Light
277,ART 138,Digital Photography
278,ART 142,Intro Documentary Filmmaking
278,FILM 162,Intro Documentary Filmmaking
279,ART 184,3D Modeling
280,ART 225,Adventures in Self-Publishing
281,ART 237,Intermediate B&W Photo
282,ART 239,Photographic Storytelling
283,ART 241,Intro Film Writing & Directing
283,FILM 161,Intro Film Writing & Directing
284,ART 264,Typography!
285,ART 294,Technology and Transformation
286,ART 332,Painting Time
287,ART 348,"Body, Space, and Time"
288,ART 356,Printmaking I
289,ART 368,Graphic Design Methodologies
290,ART 370,Motion Design
291,ART 388,Edging Temporality
292,ART 389,Postmodern Dance
292,THST 395,Postmodern Dance
293,ART 395,Junior Seminar
294,ART 432,PaintingStudio:NarrativeFigure
295,ART 442,AdvancedFilmWriting&Directing
295,FILM 483,AdvancedFilmWriting&Directing
296,ART 468,AdvGraphicDesignSeries&Systems
297,ART 471,Independent Projects
298,ART 495,Senior Project I
299,ART 510,Pit Crits
300,ART 516,What is Color?
301,ART 578,Truisms & Falsisms
302,ART 597,Fabric Lab
303,ART 671,Materials & Fracture
304,ART 677,Object Poetic(s)
305,ART 687,Actions
306,ART 710,3rd-yr. Design Studio
307,ART 720,1st-yr. Design Studio
308,ART 743,Letterform Sequence
309,ART 750,Sound. Space. Type.
310,ART 822,Intro.Tech.Seminar Photography
311,ART 823,Color Photography
312,ART 828,Prob. Photo. Criticism
313,ART 902,Experimental Narratives
314,ART 912,Sensitive Machine
315,ART 949,Critical Practice
316,ASL 110,American Sign Language I
317,ASL 130,American Sign Language III
318,ASTR 040,Expanding Ideas of Time &Space
318,PHYS 040,Expanding Ideas of Time &Space
319,ASTR 110,Planets and Stars
320,ASTR 155,Intro Astronomical Observing
321,ASTR 180,Intro to Relativity and BHs
322,ASTR 210,Stars and Their Evolution
323,ASTR 255,Research Methods: Astrophysics
323,PHYS 295,Research Methods: Astrophysics
324,ASTR 310,Galactic&ExtragalactAstronomy
325,ASTR 320,PhysicalProcessesInAstronomy
326,ASTR 355,Observational Astronomy
326,ASTR 555,Observational Astronomy
327,ASTR 385,Intro to Radio Astronomy
327,ASTR 585,Intro to Radio Astronomy
328,ASTR 430,Galaxies
328,ASTR 530,Galaxies
329,ASTR 471,Independ Project in Astronomy
330,ASTR 490,Two-Term Senior Project
331,ASTR 500,The Physics of Astrophysics
332,ASTR 570,High Energy Astrophysics
332,PHYS 570,High Energy Astrophysics
333,ASTR 580,Research
334,ASTR 710,Professional Seminar
335,B&BS 640,WritingScientificRsrchProposal
335,PATH 640,WritingScientificRsrchProposal
336,B&BS 681,AdvancedTopicsin CancerBiology
336,PATH 681,AdvancedTopicsin CancerBiology
337,BENG 205,Discovery and Design
338,BENG 280,Sophomore Seminar
339,BENG 350,Physiological Systems
339,C&MP 550,Physiological Systems
339,ENAS 550,Physiological Systems
339,MCDB 310,Physiological Systems
339,MCDB 550,Physiological Systems
339,PHAR 550,Physiological Systems
340,BENG 353,Introduction to Biomechanics
340,ENAS 558,Introduction to Biomechanics
340,PHYS 353,Introduction to Biomechanics
341,BENG 355L,Physiological Systems Lab
342,BENG 410,Physical&ChemBasisOfBiosensing
342,ENAS 510,Physical&ChemBasisOfBiosensing
343,BENG 422,Methods in Cancer Research
343,ENAS 522,Methods in Cancer Research
344,BENG 434,Biomaterials
344,ENAS 534,Biomaterials
345,BENG 444,Medical Imaging
345,ENAS 544,Medical Imaging
346,BENG 445,Biomedical Image Processing
346,EENG 445,Biomedical Image Processing
346,ENAS 912,Biomedical Image Processing
347,BENG 459,Neuromuscular Biomechanics
347,ENAS 559,Neuromuscular Biomechanics
347,MENG 459,Neuromuscular Biomechanics
348,BENG 463,Immunoengineering
348,ENAS 553,Immunoengineering
349,BENG 471,Special Projects
350,BENG 473,Senior Project
351,BENG 475,ComputatlVision&BiologPerceptn
351,CPSC 475,ComputatlVision&BiologPerceptn
351,CPSC 575,ComputatlVision&BiologPerceptn
351,EENG 475,ComputatlVision&BiologPerceptn
351,ENAS 575,ComputatlVision&BiologPerceptn
352,BENG 480,SeminarInBiomedicalEngineering
353,BIOL 101,Biochemistry and Biophysics
354,BIOL 102,Cell Bio
355,BIOL 103,Genetics and Development
356,BIOL 104,Ecology & Evolutionary Biology
357,BIS 525,Seminar in Biostatistics
358,BIS 540,Fundamentals of ClinicalTrials
359,BIS 557,Computational Statistics
360,BIS 567,Bayesian Statistics
361,BIS 600,Directed Readings BIS
362,BIS 610,Appl Area Readings for Q Exams
363,BIS 621,Regression Models
364,BIS 623,Advanced Regression Models
365,BIS 633,Population & PH Informatics
366,BIS 634,Comp Methods for Informatics
366,CB&B 634,Comp Methods for Informatics
367,BIS 649,MS BIS Thesis Research
368,BIS 678,Statistical Practice I
369,BIS 679,Adv Stat Programming w/ SAS&R
370,BIS 695,Internship Biostat Research
371,BURM 110,Elementary Burmese I
373,C&MP 600,Med PhysiologyCase Conferences
374,C&MP 610,Mentored Clinical Experience
375,C&MP 629,MoleculrMedPhrmclgy&Physiology
375,PATH 679,MoleculrMedPhrmclgy&Physiology
375,PHAR 501,MoleculrMedPhrmclgy&Physiology
376,CAND 999,Prep: Admission to Candidacy
378,CB&B 561,ModelingBiologicalSystemsI
378,MB&B 330,ModelingBiologicalSystemsI
378,MCDB 330,ModelingBiologicalSystemsI
378,NSCI 324,ModelingBiologicalSystemsI
380,CB&B 711,Lab Rotations
381,CB&B 740,Clincl&TranslationlInformatics
382,CBIO 501,Molecules to Systems
383,CBIO 600,ScienceFrontiersMedicine
384,CBIO 602,Molecular Cell Biology
384,MB&B 602,Molecular Cell Biology
384,MCDB 602,Molecular Cell Biology
385,CBIO 603,Seminar Molecular Cell Biology
385,MCDB 603,Seminar Molecular Cell Biology
386,CBIO 655,Stem Cells:Biology&Application
386,GENE 655,Stem Cells:Biology&Application
387,CBIO 900,Research Skills and Ethics I
387,GENE 900,Research Skills and Ethics I
387,MCDB 900,Research Skills and Ethics I
388,CBIO 901,Research Skills and Ethics II
388,GENE 901,Research Skills and Ethics II
388,MCDB 901,Research Skills and Ethics II
389,CBIO 911,First Laboratory Rotation
389,GENE 911,First Laboratory Rotation
389,MCDB 911,First Laboratory Rotation
390,CBIO 912,Second Laboratory Rotation
390,GENE 912,Second Laboratory Rotation
390,MCDB 912,Second Laboratory Rotation
391,CDE 502,Physiology for PH
391,EHS 502,Physiology for PH
392,CDE 525,Seminar in CDE
393,CDE 543,GlobAspectsofFood&Nutrition
393,EMD 543,GlobAspectsofFood&Nutrition
393,F&ES 628,GlobAspectsofFood&Nutrition
394,CDE 566,Causal Inf Methods in PH Res
394,EHS 566,Causal Inf Methods in PH Res
395,CDE 567,Injury & Violence as PH Issues
396,CDE 572,ObesPrev&LifestyleIntervent
397,CDE 597,Genetic Concepts in PH
398,CDE 600,Directed Readings CDE
399,CDE 619,Adv EpidemiologicResearchMthds
400,CDE 650,Intro to Evidence-Based Health
401,CDE 670,Adv Field Methods in CDE
402,CENG 300,ChemiclEngneeringThermodynamcs
403,CENG 377,Water Quality Control
403,ENVE 377,Water Quality Control
403,F&ES 777,Water Quality Control
404,CENG 411,Separation&PurificationPrcsses
404,ENAS 611,Separation&PurificationPrcsses
405,CENG 471,Independent Research
406,CENG 480,ChemEngineeringProcessControl
406,ENAS 626,ChemEngineeringProcessControl
407,CENG 490,Senior Research Project
408,CGSC 110,Intro to Cognitive Science
408,PSYC 130,Intro to Cognitive Science
409,CGSC 175,The Mystery of Sleep
410,CGSC 352,The Adolescent Brain
410,NSCI 352,The Adolescent Brain
410,PSYC 352,The Adolescent Brain
411,CGSC 395,JuniorColloquium inCognitveSci
412,CGSC 426,Cognitive Science of Morality
412,EP&E 490,Cognitive Science of Morality
412,PHIL 426,Cognitive Science of Morality
412,PHIL 626,Cognitive Science of Morality
412,PSYC 422,Cognitive Science of Morality
413,CGSC 471,DirectedResearchCognitiveScien
414,CGSC 473,DirectedReadingCognitiveScienc
415,CHEM 134L,General Chemistry Laboratory I
416,CHEM 136L,GeneralChemistry Laboratory II
417,CHEM 161,General Chemistry I
418,CHEM 163,ComprehensiveUniversityChem I
419,CHEM 165,General Chemistry II
420,CHEM 174,Organic Chem for First Years I
421,CHEM 220,Organic Chemistry
422,CHEM 221,Organic Chem of Life Processes
423,CHEM 222L,Lab for Organic Chemistry I
424,CHEM 223L,Lab for Organic Chemistry II
425,CHEM 226L,IntensiveAdvancedChemistryLab
426,CHEM 230,OrganicChemOfBiologcalPathways
427,CHEM 328,PhysChemWithBiologScienceApps
428,CHEM 330L,Lab for Physical Chemistry I
429,CHEM 332,PhysChemWithPhysScienceApps I
430,CHEM 400,Current Chemistry Seminar
431,CHEM 418,Advanced Organic Chemistry I
