subject,number,section,times,locations,areas,skills,num_students,rating,workload,Hu,Sc,So,L,QR,WR
PLSC,695,1,T 15.30-17.20 + 1,RKZ 301,,[],10.0,4.73,4.0,False,False,False,False,False,False
PLSC,705,1,Th 9.25-11.15,RKZ 301,,[],6.0,3.9,3.5700000000000003,False,False,False,False,False,False
PLSC,729,1,1 HTBA,,,[],2.0,4.0,3.17,False,False,False,False,False,False
PLSC,734,1,T 11.50-13.20,GH,,[],6.0,4.63,2.5,False,False,False,False,False,False
PLSC,746,1,T 15.30-17.20,RKZ 02,,[],10.0,4.64,3.83,False,False,False,False,False,False
PLSC,756,1,T 15.30-17.20,RKZ 102,,[],16.0,3.77,3.14,False,False,False,False,False,False
PLSC,759,1,M 13.30-15.20,RKZ 301,,[],11.0,4.5,3.75,False,False,False,False,False,False
PLSC,762,1,T 13.30-15.20,RKZ 241,,[],2.0,4.4,3.8,False,False,False,False,False,False
PLSC,777,1,T 9.25-11.15,RKZ 301,,[],15.0,4.28,3.42,False,False,False,False,False,False
PLSC,779,1,W 13.30-15.20,SA10 105,,[],10.0,4.42,3.61,False,False,False,False,False,False
PLSC,837,1,T 9.25-11.15,RKZ 02,,[],18.0,4.23,2.99,False,False,False,False,False,False
PLSC,839,1,W 13.30-15.20,PR77 A001,,[],18.0,3.88,2.73,False,False,False,False,False,False
PLSC,841,1,T 9.25-11.15,WLH 003,,[],17.0,3.92,3.31,False,False,False,False,False,False
PLSC,930,1,W 12.00-13.15,ISPS,,[],15.0,4.33,2.33,False,False,False,False,False,False
PLSC,932,1,T 12.00-13.20,LUCE 202,,[],9.0,4.33,1.5,False,False,False,False,False,False
PLSC,934,1,T 16.15-18.00,RKZ 202,,[],23.0,,,False,False,False,False,False,False
PLSC,938,1,Th 11.15-13.25,LUCE 202,,[],10.0,4.5,2.25,False,False,False,False,False,False
PLSC,940,1,W 11.45-13.20,RKZ 05,,[],10.0,4.33,1.67,False,False,False,False,False,False
PLSC,942,1,1 HTBA,,,[],7.0,,,False,False,False,False,False,False
