date,users,sessions,bounceRate,avgTimeonPage,Pageviews,t,weekday,month,year
2019-01-18,9349,10489,76.91867670893316,108.25529753265603,17379,879,5,1,2019
2019-01-19,7657,8323,84.9333173134687,119.44415499837187,11394,880,6,1,2019
2019-01-20,11656,12210,88.37837837837837,128.26137724550898,15550,881,7,1,2019
2019-01-21,8191,8930,82.0828667413214,114.40849366494604,13192,882,1,1,2019
2019-01-22,13133,14631,79.66646162258219,103.58216284115565,23388,883,2,1,2019
2019-01-23,12204,13739,78.64473396899338,102.42136428233064,22183,884,3,1,2019
2019-01-24,13776,15258,79.15847424302007,94.61015430562469,25302,885,4,1,2019
2019-01-25,14518,16121,80.83865765151045,127.98896750209857,24460,886,5,1,2019
2019-01-26,8914,9750,82.44102564102565,127.21941354903943,13706,887,6,1,2019
2019-01-27,10684,11525,85.69197396963123,142.57820836843584,15086,888,7,1,2019
2019-01-28,18464,20899,80.63543710225369,111.19165284205012,32352,889,1,1,2019
2019-01-29,15059,16959,78.46571142166401,109.0236172789665,26867,890,2,1,2019
2019-01-30,11758,12979,78.22636566761692,107.45804515202923,20642,891,3,1,2019
2019-01-31,12637,14318,76.73557759463611,105.48993354182956,24550,892,4,1,2019
2019-02-01,12202,13707,79.12015758371635,112.60278786458943,22244,893,5,2,2019
2019-02-02,8712,9514,84.2337607735968,129.32627235213204,13149,894,6,2,2019
2019-02-03,8926,9922,81.31425115904052,112.98307658928184,14531,895,7,2,2019
2019-02-04,13357,15062,76.43075288806267,105.08448117539027,24863,896,1,2,2019
2019-02-05,12042,13507,78.32235137336197,105.24918525946353,21484,897,2,2,2019
2019-02-06,11939,13742,75.9787512734682,111.17978960790565,23153,898,3,2,2019
2019-02-07,27225,30390,80.9805857189865,132.21907705274987,44627,899,4,2,2019
2019-02-08,21309,23835,80.17201594294106,120.03387995049505,36763,900,5,2,2019
2019-02-09,14950,16578,78.39305103148752,117.02499477096842,26139,901,6,2,2019
2019-02-10,20161,22683,72.62266895913238,106.4466719638164,39044,902,7,2,2019
2019-02-11,21482,23975,74.72367049009385,104.31226208328528,41312,903,1,2,2019
2019-02-12,25194,28202,80.74604637968939,108.33392284011266,43468,904,2,2,2019
2019-02-13,39768,44426,82.59577724755773,128.38422352577956,63859,905,3,2,2019
2019-02-14,14889,17048,78.78930079774754,112.92296011338328,26922,906,4,2,2019
2019-02-15,15036,17450,78.30945558739255,108.01740629039207,29048,907,5,2,2019
2019-02-16,10144,11097,84.17590339731458,120.7523439286531,15465,908,6,2,2019
2019-02-17,7567,8352,80.18438697318008,113.70334816202295,12620,909,7,2,2019
2019-02-18,14195,16024,76.90963554667998,117.26095862351495,25787,910,1,2,2019
2019-02-19,11554,13016,77.55838967424708,92.64198339886413,22168,911,2,2,2019
2019-02-20,11821,13254,76.48257129923041,111.31651769315538,21421,912,3,2,2019
2019-02-21,11789,13146,78.35082914955119,103.7878974611782,21259,913,4,2,2019
2019-02-22,13063,14733,76.48815584062987,119.17491202649555,24393,914,5,2,2019
2019-02-23,8499,9276,83.09616213885296,129.46661259799947,12973,915,6,2,2019
2019-02-24,7251,7954,80.85240130751824,126.86618201400108,11666,916,7,2,2019
2019-02-25,13089,14915,75.13241702983574,98.12607620833688,26646,917,1,2,2019
